proteinID,description,modelnotes,defline
678698,GH5_5-CBM10-CBM10-GH5_5-CBM10-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
678702,CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
678759,CBM1-GH43-CBM61,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 61 protein
678784,DOC2-DOC2,,Non-Catalytic Module Family DOC2
678968,CE16,,Carbohydrate Esterase Family 16 protein
696657,CBM18,,Carbohydrate-Binding Module Family 18 protein
696678,CBM18,,Carbohydrate-Binding Module Family 18 protein
696694,CBM21,,Carbohydrate-Binding Module Family 21 protein
696767,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
696778,CBM18,,Carbohydrate-Binding Module Family 18 protein
696779,CBM18,,Carbohydrate-Binding Module Family 18 protein
696953,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
697010,CE4,,Carbohydrate Esterase Family 4 protein
697018,EXPN-CBM63-DOC2-DOC2,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
697057,CBM1-CBM1,,Carbohydrate-Binding Module Family 1 protein
697093,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
697157,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
697225,CE15-DOC2-DOC2,,Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
697256,GH10-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
697280,GH3,,Glycoside Hydrolase Family 3 protein
697353,CBM18,,Carbohydrate-Binding Module Family 18 protein
697374,GH10,,Glycoside Hydrolase Family 10 protein
697403,CE4,,Carbohydrate Esterase Family 4 protein
697503,PL1,,Polysaccharide Lyase Family 1 protein
697530,DOC2-GH26-DOC2,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
697598,GH10-CBM1,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
697603,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
697632,GH10-CBM1,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
697808,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
697833,GT8,,Glycosyltransferase Family 8 protein
697835,DOC2-DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
698029,GH10,,Glycoside Hydrolase Family 10 protein
698104,CE1,,Carbohydrate Esterase Family 1 protein
698111,GH5_4,,Glycoside Hydrolase Family 5 protein
698177,GH115,fragment N-term / C-term;,Glycoside Hydrolase Family 115 protein
698197,GH25,,Glycoside Hydrolase Family 25 protein
698208,CE4,,Carbohydrate Esterase Family 4 protein
698209,CE4,,Carbohydrate Esterase Family 4 protein
698246,CE6-CBM13-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
698297,GT2,,Glycosyltransferase Family 2 protein
698306,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
698405,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
698407,GH6,fragment N-term;,Glycoside Hydrolase Family 6 protein
698413,GH43-CBM6-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
698418,GT2,,Glycosyltransferase Family 2 protein
698488,GH30_3,,Glycoside Hydrolase Family 30 protein
698497,CBM29-CBM29-CBM1,,Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
698498,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
698500,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
698501,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
698551,GT71,,Glycosyltransferase Family 71 protein
698621,GH5_7,,Glycoside Hydrolase Family 5 protein
698631,DOC2-DOC2,,Non-Catalytic Module Family DOC2
698650,GH43-CBM6-CBM13-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
698788,CBM48,,Carbohydrate-Binding Module Family 48 protein
698801,GT10,fragment C-term;,Glycosyltransferase Family 10 protein
698874,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
698918,CBM21,,Carbohydrate-Binding Module Family 21 protein
698941,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
698944,GH16,(fragment)  splicing problem;,Glycoside Hydrolase Family 16 protein
698953,GH43-CBM6-GH43,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
698999,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
699114,CBM18,,Carbohydrate-Binding Module Family 18 protein
699115,CBM18,,Carbohydrate-Binding Module Family 18 protein
699126,DOC2-DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
699138,CBM10-CBM10-CBM10-GH45,,Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
699163,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
699191,PL1,,Polysaccharide Lyase Family 1 protein
699214,CBM18-CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
699271,CE4-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate Esterase Family 4  / Carbohydrate-Binding Module Family 18 protein
699317,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
699330,GT17,,Glycosyltransferase Family 17 protein
699342,GH43,,Glycoside Hydrolase Family 43 protein
699352,GH47,,Glycoside Hydrolase Family 47 protein
699379,GH5_4,,Glycoside Hydrolase Family 5 protein
699417,DOC2-DOC2,,Non-Catalytic Module Family DOC2
699426,GH5_7,,Glycoside Hydrolase Family 5 protein
699432,GH3-DOC2-GH6-DOC2-DOC2,,Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
699453,GH1,,Glycoside Hydrolase Family 1 protein
699455,GH74-DOC2-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
699456,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
699458,GH43-CBM6,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
699460,GH43,,Glycoside Hydrolase Family 43 protein
699515,CBM25,,Carbohydrate-Binding Module Family 25 protein
699528,DOC2-DOC2-GH43,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
699656,EXPN,,Distantly related to plant expansins
699671,CBM13-DOC2,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
699674,GT71,,Glycosyltransferase Family 71 protein
699677,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
699681,CBM13-DOC2-DOC2-CE1,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
699808,GH3,,Glycoside Hydrolase Family 3 protein
699809,GH3,,Glycoside Hydrolase Family 3 protein
699855,DOC2-DOC2,,Non-Catalytic Module Family DOC2
699892,CE1,,Carbohydrate Esterase Family 1 protein
699910,GT22,(fragment)  splicing problem;,Glycosyltransferase Family 22 protein
699925,CE3-DOC2,,Carbohydrate Esterase Family 3  / Non-Catalytic Module Family DOC2
699950,DOC2,,Non-Catalytic Module Family DOC2
699960,DOC2,,Non-Catalytic Module Family DOC2
699964,CBM10-GH45,,Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
699978,GT17,,Glycosyltransferase Family 17 protein
700014,GH11-GH10-DOC2,,Glycoside Hydrolase Family 11  / Glycoside Hydrolase Family 10  / Non-Catalytic Module Family DOC2
700073,CBM26-GH31,,Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
700111,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
700127,GT17,,Glycosyltransferase Family 17 protein
700158,DOC2,,Non-Catalytic Module Family DOC2
700182,DOC2-DOC2,(fragment)  splicing problem;,Non-Catalytic Module Family DOC2
700188,GH53,,Glycoside Hydrolase Family 53 protein
700260,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
700286,CBM10-CBM10,,Carbohydrate-Binding Module Family 10 protein
700287,CE16-DOC2,,Carbohydrate Esterase Family 16  / Non-Catalytic Module Family DOC2
700294,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
700300,CBM10,,Carbohydrate-Binding Module Family 10 protein
700366,DOC2,,Non-Catalytic Module Family DOC2
700372,CE4,,Carbohydrate Esterase Family 4 protein
700483,CE4,,Carbohydrate Esterase Family 4 protein
700555,DOC2,,Non-Catalytic Module Family DOC2
700562,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
700584,DOC2-DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
700718,GT34,fragment C-term;,Glycosyltransferase Family 34 protein
700735,CBM18,,Carbohydrate-Binding Module Family 18 protein
700737,DOC2,,Non-Catalytic Module Family DOC2
700798,GT31,,Glycosyltransferase Family 31 protein
700826,GH5_4,,Glycoside Hydrolase Family 5 protein
700827,CBM1,,Carbohydrate-Binding Module Family 1 protein
701188,GT34,,Glycosyltransferase Family 34 protein
701280,GH5_8-CBM10-CBM10,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
701305,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
701306,CE4,,Carbohydrate Esterase Family 4 protein
701421,PL4_dist-CBM1-CE12,fragment N-term;,Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
701423,CBM1-CE12,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
701495,CBM1,,Carbohydrate-Binding Module Family 1 protein
701507,CE4,,Carbohydrate Esterase Family 4 protein
701508,CE1,,Carbohydrate Esterase Family 1 protein
701543,CE4,,Carbohydrate Esterase Family 4 protein
701588,DOC2-DOC2,,Non-Catalytic Module Family DOC2
701644,GH115,,Glycoside Hydrolase Family 115 protein
701697,GT17,,Glycosyltransferase Family 17 protein
701704,GH1,,Glycoside Hydrolase Family 1 protein
701753,DOC2-DOC2-DOC2-GH5_1,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
701791,GH5_4-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
701835,GH8,(fragment)  splicing problem;,Glycoside Hydrolase Family 8 protein
701901,DOC2-DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
702029,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
702050,CBM1,,Carbohydrate-Binding Module Family 1 protein
702081,EXPN,,Distantly related to plant expansins
702162,GH10-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
702190,GT4,(fragment)  splicing problem;,Glycosyltransferase Family 4 protein
702205,DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
702253,CBM21,,Carbohydrate-Binding Module Family 21 protein
702396,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
702405,CBM18,,Carbohydrate-Binding Module Family 18 protein
702410,CBM13-DOC2-DOC2-CE1,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
702459,DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
702465,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
702500,GH124-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
702545,GH32,fragment N-term;,Glycoside Hydrolase Family 32 protein
702582,DOC2-DOC2-DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
702584,DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
702589,GT71,,Glycosyltransferase Family 71 protein
702697,GT2,,Glycosyltransferase Family 2 protein
702708,CBM18,,Carbohydrate-Binding Module Family 18 protein
702787,GH43-CBM6-CBM1,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 1 protein
702792,GH43-CBM6-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
702940,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
702942,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
703027,GH39-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
703033,GH1,,Glycoside Hydrolase Family 1 protein
703034,GH1,,Glycoside Hydrolase Family 1 protein
703035,GH5_4,,Glycoside Hydrolase Family 5 protein
703036,CBM18,,Carbohydrate-Binding Module Family 18 protein
703071,GH43-CBM22-DOC2-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 22  / Non-Catalytic Module Family DOC2
703128,CE16,fragment N-term / C-term;,Carbohydrate Esterase Family 16 protein
703212,DOC2-DOC2,,Non-Catalytic Module Family DOC2
703262,CE2,,Carbohydrate Esterase Family 2 protein
703292,DOC2-DOC2,,Non-Catalytic Module Family DOC2
703294,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
703308,GH78,,Glycoside Hydrolase Family 78 protein
703335,CBM18,,Carbohydrate-Binding Module Family 18 protein
703338,CBM18,,Carbohydrate-Binding Module Family 18 protein
703343,CBM10-GH45,,Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
703386,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
703405,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
703601,GH43-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
703609,DOC2-DOC2,,Non-Catalytic Module Family DOC2
703633,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
703640,CBM18,,Carbohydrate-Binding Module Family 18 protein
703642,CE6-CBM13-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
703673,GT10,fragment C-term;,Glycosyltransferase Family 10 protein
703684,CBM48,fragment N-term;,Carbohydrate-Binding Module Family 48 protein
703723,EXPN,,Distantly related to plant expansins
703763,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
703768,DOC2-DOC2-GH97,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 97 protein
703809,GH10-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
703810,GH10-CBM1,fragment N-term;,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
703812,GH10-CBM1,fragment N-term;,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
703813,GH10-CBM1,fragment N-term;,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
703820,GH10,,Glycoside Hydrolase Family 10 protein
703870,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
703877,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
703879,GT1,,Glycosyltransferase Family 1 protein
703965,GH11-GH11-DOC2-DOC2,,Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
704027,GH3,,Glycoside Hydrolase Family 3 protein
704103,CE8,,Carbohydrate Esterase Family 8 protein
704134,GH115,,Glycoside Hydrolase Family 115 protein
704136,GH43-CBM6-DOC2-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Non-Catalytic Module Family DOC2
704137,GH43-CBM6-DOC2,,Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Non-Catalytic Module Family DOC2
704225,DOC2-DOC2,,Non-Catalytic Module Family DOC2
704226,DOC2-DOC2,,Non-Catalytic Module Family DOC2
704433,CBM1,,Carbohydrate-Binding Module Family 1 protein
704436,CBM1,,Carbohydrate-Binding Module Family 1 protein
704451,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
704453,GH53-DOC2-DOC2,,Glycoside Hydrolase Family 53  / Non-Catalytic Module Family DOC2
704545,GT34,fragment N-term;,Glycosyltransferase Family 34 protein
704547,GT2,fragment N-term;,Glycosyltransferase Family 2 protein
704550,GH5_7,,Glycoside Hydrolase Family 5 protein
704578,DOC2-DOC2-CE15,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 15 protein
704697,CBM1,,Carbohydrate-Binding Module Family 1 protein
704706,PL4_dist-CBM1,,Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1 protein
704715,DOC2-DOC2,,Non-Catalytic Module Family DOC2
704771,CE6-CBM1,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
704810,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
704812,CBM26-GH31,,Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
704850,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
704885,GH18,,Glycoside Hydrolase Family 18 protein
704988,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
705015,GH20,,Glycoside Hydrolase Family 20 protein
705043,CBM18,,Carbohydrate-Binding Module Family 18 protein
705046,DOC2-DOC2-GH30_5,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 30 protein
705055,CE16,fragment C-term;,Carbohydrate Esterase Family 16 protein
705060,GT71,,Glycosyltransferase Family 71 protein
705114,CBM18-CBM18-CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
705146,CBM18,,Carbohydrate-Binding Module Family 18 protein
705152,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
705153,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
705227,CBM18,,Carbohydrate-Binding Module Family 18 protein
705262,DOC2-DOC2,,Non-Catalytic Module Family DOC2
705267,CE6,,Carbohydrate Esterase Family 6 protein
705268,CE15-DOC2-DOC2,,Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
705285,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
705386,GH10,,Glycoside Hydrolase Family 10 protein
705397,CBM1-CE12,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
705403,GH13_14,,Glycoside Hydrolase Family 13 protein
705447,GH74-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
705498,DOC2-DOC2,,Non-Catalytic Module Family DOC2
705517,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
705650,GT71,,Glycosyltransferase Family 71 protein
705666,GH5_7,fragment N-term;,Glycoside Hydrolase Family 5 protein
705678,DOC2-DOC2-DOC2-GH9,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 9 protein
705681,CE4,,Carbohydrate Esterase Family 4 protein
705689,CBM13-DOC2-DOC2,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
705725,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
705733,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
705789,GT17,,Glycosyltransferase Family 17 protein
705894,CE6-CBM13-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
705895,CE16,,Carbohydrate Esterase Family 16 protein
705896,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
705903,CE4,,Carbohydrate Esterase Family 4 protein
705908,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
705920,CBM18-CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
705921,CE4,,Carbohydrate Esterase Family 4 protein
705922,CE4,,Carbohydrate Esterase Family 4 protein
705926,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
706009,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
706010,CBM1,,Carbohydrate-Binding Module Family 1 protein
706016,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
706033,CBM13-PL1-CBM13-CBM13,,Carbohydrate-Binding Module Family 13  / Polysaccharide Lyase Family 1 protein
706034,GH39-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
706035,GH39-CBM13,fragment N-term;,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13 protein
706039,GH39-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
706078,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
706183,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
706190,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
706199,CE4-CBM18-CBM18,,Carbohydrate Esterase Family 4  / Carbohydrate-Binding Module Family 18 protein
706209,GH16,,Glycoside Hydrolase Family 16 protein
706210,GH16,,Glycoside Hydrolase Family 16 protein
706219,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
706220,CBM13-DOC2-DOC2-CE1,,Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
706242,DOC2-DOC2,,Non-Catalytic Module Family DOC2
706271,CE4,,Carbohydrate Esterase Family 4 protein
706273,CE4,,Carbohydrate Esterase Family 4 protein
706357,DOC2-DOC2-GH30_5,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 30 protein
706376,GH39-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
706397,CBM1-CE4,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
706453,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
706493,DOC2-DOC2-CE1-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
706540,CE1,fragment N-term;,Carbohydrate Esterase Family 1 protein
706634,GH3,,Glycoside Hydrolase Family 3 protein
706654,CE15-DOC2-DOC2,,Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
706661,GH10-CBM13-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
706678,GH124-DOC2-DOC2,,Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
706766,GH13_28-CBM26,,Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26 protein
706915,GH114,,Glycoside Hydrolase Family 114 protein
707018,DOC2-DOC2,,Non-Catalytic Module Family DOC2
707026,DOC2-DOC2,,Non-Catalytic Module Family DOC2
707045,CBM18,,Carbohydrate-Binding Module Family 18 protein
707049,CBM18,,Carbohydrate-Binding Module Family 18 protein
707162,GH3,fragment N-term;,Glycoside Hydrolase Family 3 protein
707163,GH3,fragment N-term;,Glycoside Hydrolase Family 3 protein
707171,GH3,fragment N-term;,Glycoside Hydrolase Family 3 protein
707328,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
707399,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
707650,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707651,CE4,,Carbohydrate Esterase Family 4 protein
707653,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707654,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707655,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707656,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707657,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
707775,CBM18,,Carbohydrate-Binding Module Family 18 protein
707779,GH3,,Glycoside Hydrolase Family 3 protein
707786,CBM18,,Carbohydrate-Binding Module Family 18 protein
707800,CE4,,Carbohydrate Esterase Family 4 protein
707801,GH3,,Glycoside Hydrolase Family 3 protein
707952,DOC2,,Non-Catalytic Module Family DOC2
707953,DOC2-DOC2,,Non-Catalytic Module Family DOC2
707987,GH11-GH10-DOC2-DOC2,,Glycoside Hydrolase Family 11  / Glycoside Hydrolase Family 10  / Non-Catalytic Module Family DOC2
708068,CE6-CBM1,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
708206,GH2-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
708252,CBM18,,Carbohydrate-Binding Module Family 18 protein
708349,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
708387,CBM10,,Carbohydrate-Binding Module Family 10 protein
708408,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
708430,GH13_28-CBM26-CBM25,,Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
708443,GH43,,Glycoside Hydrolase Family 43 protein
708449,CBM1,,Carbohydrate-Binding Module Family 1 protein
708450,CBM1,,Carbohydrate-Binding Module Family 1 protein
708536,DOC2-DOC2-CBM29-CBM1-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
708729,DOC2-DOC2,,Non-Catalytic Module Family DOC2
708761,GH3,,Glycoside Hydrolase Family 3 protein
708791,GT34,,Glycosyltransferase Family 34 protein
